% ID         RA         Dec       Ebv      Gal Long  Gal Lat    Ecl Long  Ecl Lat
000001     24.71429  -85.93846    0.09     301.9583  -31.0998   279.8749  -67.9653
000002     76.14286  -85.93846    0.16     298.7880  -28.8932   272.9102  -70.4811
000003    127.57143  -85.93846    0.18     298.8484  -25.3715   262.8704  -69.6372
000004    179.00000  -85.93846    0.11     301.8744  -23.1810   259.8520  -66.3010
000005    230.42857  -85.93846    0.09     305.6390  -23.8833   264.2344  -63.3114
000006    281.85714  -85.93846    0.15     307.4899  -26.9836   271.8106  -62.5739
000007    333.28571  -85.93846    0.13     305.9254  -30.2270   278.4477  -64.4903
000008     12.84615  -79.01538    0.07     302.9351  -38.1129   297.8494  -66.5668
000009     40.53846  -79.01538    0.09     296.5928  -36.7129   297.6112  -71.7933
000010     68.23077  -79.01538    0.09     292.1624  -32.9561   287.2110  -76.1826
000011     95.92308  -79.01538    0.16     290.5720  -27.9117   264.8129  -77.4383
000012    123.61538  -79.01538    0.09     291.7875  -22.8010   246.6966  -74.5347
000013    151.30769  -79.01538    0.16     295.2637  -18.7065   241.3988  -69.5638
000014    179.00000  -79.01538    0.30     300.2043  -16.4383   243.8151  -64.4216
000015    206.69231  -79.01538    0.12     305.6544  -16.4372   250.0507  -60.0688
000016    234.38462  -79.01538    0.13     310.5960  -18.7034   258.2315  -57.0405
000017    262.07692  -79.01538    0.19     314.0740  -22.7964   267.3320  -55.6495
000018    289.76923  -79.01538    0.22     315.2919  -27.9066   276.6236  -56.0315
000019    317.46154  -79.01538    0.15     313.7044  -32.9517   285.4297  -58.1496
000020    345.15385  -79.01538    0.11     309.2765  -36.7103   292.9350  -61.7937
000021      8.47368  -72.09231    0.04     304.8366  -44.9710   312.0703  -63.0062
000022     27.42105  -72.09231    0.03     296.7279  -44.3276   317.6733  -68.3353
000023     46.36842  -72.09231    0.04     289.8406  -41.4578   320.5939  -74.0621
000024     65.31579  -72.09231    0.12     285.1775  -36.9165   316.4259  -79.7907
